candidate_id,score,rationale,stratum
CAND_0000020,0.0,"Worked at Dunder Mifflin (fictional company), automatic disqualifier scoring 0.0.",sample
CAND_0000021,0.0,"Worked at Dunder Mifflin and Stark Industries (fictional), with entire career at Wipro/Infosys disqualifiers and zero AI engineering skills.",sample
CAND_0000022,0.2,"Only 1.1 years experience as a Mechanical Engineer with no AI/ML skills and no production embeddings, vector DB, or retrieval experience.",sample
CAND_0000023,0.2,"Backend software engineer with 3.7 years whose AI exposure is limited to a small RAG side project; no production embeddings, vector DB, or evaluation framework experience.",sample
CAND_0000024,0.0,Entire career at TCS and Infosys (disqualifying firms) in HR Manager and Accountant roles with no AI engineering skills.,sample
CAND_0000025,0.2,"Frontend engineer with entire career at IT services firms (Tech Mahindra, Mindtree) and only LangChain wrapper experience — no pre-LLM ML, embeddings, or vector DB work.",sample
CAND_0000026,0.0,Worked at Initech (fictional company disqualifier) as a Graphic Designer/Accountant with no AI engineering skills.,sample
CAND_0000027,0.2,"Entire career at Infosys and Wipro (disqualifying firms) despite advanced ML skills (PEFT, W&B, YOLO) and IIT Bombay PhD; the disqualifier overrides the strong ML signals.",sample
CAND_0000028,0.0,Operations Manager with 1.1 years at Wipro (disqualifier) and no AI engineering skills; entirely non-technical.,sample
CAND_0000029,0.0,"Worked at Globex Inc (fictional disqualifier) with career at Wipro/TCS (disqualifying firms) in non-technical roles (Business Analyst, Civil Engineer).",sample
CAND_0000030,0.0,Worked at Dunder Mifflin (fictional disqualifier) as a Marketing Manager with no AI engineering skills.,sample
CAND_0000031,0.8,"Expert-level embeddings (60 months), led migration to embedding-based retrieval at Swiggy, strong production ML with XGBoost/LightGBM ranking across reputable product companies (Uber, Swiggy, Zomato), though no explicit vector DB or NDCG evaluation framework mentioned.",sample
CAND_0000032,0.0,Worked at Globex Inc (fictional disqualifier); career is primarily .NET/cloud/QA backend engineering with no production ML or retrieval systems experience.,sample
CAND_0000033,0.0,"Worked at Dunder Mifflin (fictional disqualifier); profile is a Graphic Designer/Marketing Manager with no AI engineering, embeddings, or retrieval skills.",sample
CAND_0000034,0.2,"Entire career at Wipro, Infosys, TCS (disqualifiers) as a Business Analyst with no production ML or retrieval engineering experience.",sample
CAND_0000035,0.2,Worked at Globex Inc (fictional disqualifier) and Wipro; profile is Full Stack Developer with only side-project RAG experience and no production embeddings or vector DB work.,sample
CAND_0000036,0.0,Worked at both Initech and Dunder Mifflin (two fictional disqualifiers); profile is Project Manager/HR with no AI engineering or retrieval skills.,sample
CAND_0000037,0.0,"Worked at Stark Industries (fictional disqualifier); profile is Business Analyst/Civil Engineer with no production ML, embeddings, or retrieval experience.",sample
CAND_0000038,0.4,"Advanced Weaviate skill (27 months, 37 endorsements) is directly relevant, but career is primarily Java/frontend/DevOps with no demonstrated production embeddings or evaluation framework, and worked at Globex Inc (fictional).",sample
CAND_0000039,0.0,Worked at Stark Industries (fictional disqualifier); profile is Marketing Manager/Mechanical Engineer with no AI engineering or retrieval experience.,sample
CAND_0000040,0.0,Only 1.6 years in Customer Support at Globex Inc (fictional disqualifier) with no AI engineering skills.,sample
CAND_0000041,0.0,Worked at Wayne Enterprises (fictional disqualifier); background is operations/marketing management with no AI/ML engineering skills.,sample
CAND_0000042,0.0,"Worked at Wayne Enterprises (fictional disqualifier); career spans HR, business analysis, and marketing with no AI/ML or search engineering skills.",sample
CAND_0000043,0.2,"Has advanced Elasticsearch and OpenSearch skills relevant to hybrid search, but worked at Initech (fictional disqualifier) and career is primarily cloud/DevOps/mobile with no production embeddings or vector DB experience.",sample
CAND_0000044,0.2,Entire career at Tech Mahindra (IT services disqualifier) with frontend/DevOps focus; only minor AI exposure via a small RAG side project.,sample
CAND_0000045,0.0,"Worked at both Initech and Pied Piper (fictional disqualifiers); career entirely in project management, sales, and marketing with zero AI/ML engineering skills.",sample
CAND_0000046,0.0,"Worked at Pied Piper (fictional disqualifier); career spans mechanical engineering, HR, and marketing operations with no AI/ML relevance.",sample
CAND_0000047,0.2,Entire career at TCS (disqualifying firm) in project management/operations; only adjacent skills are SQL and Hadoop with no embeddings or vector DB experience.,sample
CAND_0000048,0.0,"Worked at both Stark Industries and Initech (fictional disqualifiers), disqualifying the candidate regardless of mobile development background.",sample
CAND_0000049,0.0,Entire career at Wayne Enterprises (fictional disqualifier) in mechanical engineering and sales roles with no AI/ML skills.,sample
CAND_0000050,0.2,Majority career at Infosys and TCS (disqualifying IT services firms) in non-technical marketing/HR/BA roles; advanced feature engineering skill noted but career profile is fundamentally misaligned.,sample
